,age,workclass,fnlwgt,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,y_predict,education-num,age-times-hours
119,26,4,13748,2,12,4,4,0,0,0,39,1,12,753
120,14,2,16447,2,10,4,4,0,0,0,59,0,12,803
121,1,4,18679,1,12,3,4,0,0,0,24,0,9,244
122,2,4,21036,1,11,3,4,1,0,0,29,0,9,298
123,24,4,6219,2,13,1,4,0,0,0,39,0,9,722
124,24,4,13900,2,6,4,4,0,0,0,39,0,8,722
125,52,4,14318,2,1,1,4,0,0,0,24,0,8,755
126,31,1,1524,0,10,5,4,0,0,0,39,1,15,823
127,11,4,8668,1,10,3,4,1,0,0,39,0,8,530
128,10,6,6743,0,3,0,4,1,0,0,59,1,8,715
129,24,4,20372,0,10,0,4,1,0,81,49,1,13,867
130,24,4,27522,0,1,0,4,1,0,0,39,0,9,722
131,7,4,20980,1,3,4,2,0,0,0,39,0,8,459
132,3,0,25217,1,0,1,4,0,0,0,39,0,8,396
133,25,5,5120,0,10,0,4,1,0,0,40,1,15,754
134,40,4,20757,0,3,0,2,1,0,0,47,0,8,1074
135,13,4,9440,1,10,1,4,0,0,0,39,0,11,562
136,19,4,14182,0,12,0,4,1,0,0,59,1,8,902
137,32,4,12510,0,7,0,2,1,0,0,39,0,3,836
138,16,4,9703,0,7,5,4,0,0,0,34,0,8,543
139,6,4,24156,0,5,0,4,1,0,0,39,0,5,445
140,29,4,3826,0,10,0,4,1,0,0,39,0,13,796
141,1,4,21864,1,1,3,1,0,0,0,21,0,9,215
142,23,4,10737,0,4,0,4,1,98,0,54,1,8,915
143,26,5,18235,0,4,0,4,1,0,50,44,1,8,828
144,17,4,11083,1,10,3,4,0,0,0,29,0,13,485
145,30,6,13030,3,4,1,4,0,0,0,29,0,8,643
146,27,4,235,3,4,4,4,0,0,0,29,0,10,610
147,16,4,13461,0,12,0,4,1,0,0,39,1,8,610
148,38,4,7742,0,4,0,4,1,112,0,49,1,12,1078
149,2,4,27807,1,12,1,4,1,46,0,29,0,8,298
150,11,4,18436,1,8,1,2,1,0,0,13,0,9,213
151,10,4,18891,0,8,5,2,0,0,0,31,0,6,424
152,33,4,6639,0,7,0,4,1,0,0,19,0,3,478
153,5,4,24550,1,3,4,4,1,0,0,39,0,6,430
154,23,7,2956,0,1,0,4,1,0,50,44,1,12,782
155,8,4,7867,1,1,3,4,0,0,0,39,0,9,478
156,9,2,5277,1,3,1,4,1,0,0,39,0,8,495
157,5,4,28186,1,12,1,4,1,0,0,24,0,12,288
158,25,4,6550,1,6,4,2,0,0,5,39,0,9,738
159,21,5,4439,2,4,1,4,1,0,0,39,0,12,683
160,38,4,1527,0,8,0,4,1,0,0,29,0,6,726
161,15,4,8841,0,12,0,4,1,0,0,39,0,8,595
162,5,4,26865,0,3,0,4,1,0,0,44,0,8,473
163,12,4,9364,1,12,3,4,1,0,0,39,0,12,545
164,29,7,2422,0,4,0,4,1,0,0,44,1,13,874
165,14,4,10781,0,4,0,4,1,0,0,39,1,9,579
166,41,6,11057,0,10,0,4,1,0,0,15,1,15,449
167,25,4,15347,0,3,0,4,1,0,0,44,0,8,814
168,1,4,1471,1,6,4,4,1,0,0,24,0,8,244
169,41,2,8876,2,4,1,4,1,0,0,32,0,8,822
170,37,4,20113,0,10,0,4,1,0,50,39,1,8,902
171,17,4,15182,1,10,1,4,1,0,0,39,0,13,623
172,9,4,20416,1,1,1,4,0,0,0,39,0,12,495
173,44,4,49,0,4,0,4,1,0,0,59,0,7,1259
174,31,2,2918,2,1,4,2,0,0,0,39,0,13,823
175,19,4,20134,0,4,0,4,1,0,0,44,1,9,715
176,7,4,24940,0,7,0,4,1,0,0,44,0,10,513
177,23,4,3795,0,7,0,4,1,0,0,36,0,9,669
178,16,5,10570,0,12,0,4,1,0,0,49,1,8,726
179,20,4,20992,0,7,0,4,1,0,50,39,1,9,669
180,17,4,16420,1,4,3,4,1,73,0,39,0,13,623
181,39,5,24792,0,4,0,4,1,112,0,39,1,9,928
182,11,0,12180,0,0,3,4,0,0,0,37,1,8,505
183,20,4,17013,3,4,1,4,0,0,0,54,0,12,862
184,27,4,23154,2,12,4,2,0,0,0,39,0,8,766
185,47,0,16800,0,0,0,4,1,0,0,7,0,9,274
186,37,4,2572,2,6,1,4,1,0,0,44,0,8,987
187,6,4,2141,1,7,1,4,1,0,0,49,0,8,541
188,17,7,28123,1,5,1,2,1,0,0,39,0,12,623
189,5,4,16518,1,8,1,4,0,0,0,44,0,8,473
190,16,4,16110,0,4,0,4,1,0,55,39,1,12,610
191,22,4,11528,2,10,1,4,1,0,0,49,1,12,833
192,30,4,27283,2,1,1,2,0,0,0,36,0,9,759
193,62,0,1852,3,0,1,4,1,0,0,39,0,3,1169
194,9,4,17714,1,10,4,2,0,0,0,54,0,8,651
195,14,4,2431,2,4,4,4,0,0,0,39,0,9,579
196,27,4,23846,1,14,1,4,1,0,0,44,0,9,843
197,25,5,20474,0,10,5,4,0,0,0,49,1,14,882
198,2,4,26022,1,7,1,4,0,0,0,39,0,8,382
199,10,4,8429,0,6,0,4,1,0,0,39,1,8,513
200,34,2,13010,0,11,0,4,1,0,0,39,1,9,863
201,11,5,9377,0,4,0,4,1,0,0,49,0,12,638
202,40,4,241,2,3,1,4,1,0,0,44,0,12,1029
203,28,2,14571,2,10,4,4,0,0,0,39,0,12,782
204,33,4,13035,0,10,0,4,1,0,0,39,1,10,849
205,17,5,979,0,12,0,4,1,0,0,53,0,12,795
206,28,4,27286,0,3,0,2,1,0,0,39,0,3,782
207,56,2,9494,0,4,0,4,1,0,0,19,0,8,662
208,17,4,26079,0,10,5,4,0,0,0,49,1,12,745
209,14,4,20180,0,12,0,4,1,0,0,54,1,9,749
210,2,4,2179,1,12,1,4,1,0,0,11,0,6,121
211,8,4,411,1,8,3,4,0,0,0,49,0,9,583
212,21,1,18117,2,3,4,4,0,88,0,39,0,10,683
213,22,4,83,0,14,0,4,1,0,0,39,0,12,695
214,6,4,13833,1,13,3,2,0,0,0,31,0,12,371
215,32,4,1169,0,7,0,4,1,0,0,39,0,8,836
216,16,1,8936,1,8,1,4,1,0,0,31,0,8,501
217,4,4,27719,1,7,2,4,1,0,0,37,0,2,395
218,14,4,18837,2,3,1,4,1,0,0,39,0,10,579
219,6,4,1489,1,4,1,4,0,0,0,44,0,12,492
220,17,4,11415,0,1,0,1,1,0,0,39,0,12,623
221,8,4,3471,1,7,1,1,0,0,0,39,0,8,478
222,22,4,23067,1,3,4,4,1,0,0,39,0,8,695
223,35,5,24362,0,12,0,4,1,0,0,39,1,8,878
224,46,2,2829,0,14,0,4,1,98,0,39,1,4,1014
225,24,4,22759,0,3,0,4,1,0,0,39,0,9,722
226,29,4,24404,0,10,0,4,1,112,0,37,1,12,761
227,36,2,12326,0,4,0,4,1,0,0,39,0,8,890
228,8,0,22373,2,0,1,4,0,6,0,39,0,4,478
229,60,0,12718,0,0,0,4,1,0,0,34,0,9,1064
230,1,4,4737,1,9,3,4,1,0,0,39,0,7,362
231,21,4,20267,0,10,0,4,1,0,0,49,0,14,818
232,38,4,7255,1,4,4,1,0,0,0,49,0,13,1078
233,17,4,20180,0,13,0,4,1,0,0,39,1,8,623
234,63,6,16758,0,8,0,4,1,0,0,29,0,8,979
235,17,4,9865,2,13,4,4,0,0,0,59,0,10,863
236,35,4,10368,0,13,0,4,1,79,0,39,0,9,878
237,25,4,19449,1,8,4,2,0,0,0,27,0,8,552
238,9,4,26228,1,12,1,4,0,0,0,39,0,9,495
239,14,4,5406,0,14,0,4,1,0,0,39,0,8,579
240,8,2,22981,1,8,3,4,0,0,0,34,0,8,428
241,38,6,5598,0,3,0,4,1,0,61,59,0,8,1199
242,2,4,19628,1,8,3,4,0,0,0,11,0,9,121
243,45,6,13427,0,14,0,4,1,0,0,31,0,9,844
244,5,1,5518,1,1,3,4,0,0,0,19,0,9,239
245,22,0,6177,0,0,5,4,0,0,0,49,0,8,833
246,18,4,9489,0,6,0,4,1,0,0,39,0,8,638
247,11,4,5816,0,12,3,4,0,0,0,39,0,8,530
248,30,4,18081,0,14,0,4,1,0,0,69,1,8,1197
249,27,7,9021,0,7,0,4,1,0,0,39,0,8,766
250,4,4,5047,1,12,3,4,1,0,0,14,0,9,175
251,18,4,17078,1,3,1,4,1,0,0,49,0,10,763
252,7,4,24482,0,10,0,4,1,0,0,39,1,12,459
253,25,1,13496,1,10,1,4,1,0,0,39,0,12,738
254,11,4,15765,1,13,3,4,1,0,0,49,0,12,638
255,4,4,21189,1,7,2,4,1,0,0,34,0,9,370
256,45,1,2466,2,13,1,2,1,73,0,39,0,9,1004
257,22,4,23002,1,8,1,2,0,0,0,39,0,8,695
258,13,7,21794,1,8,1,4,1,0,0,39,0,8,562
259,55,6,20704,1,10,1,4,1,0,18,19,0,14,654
260,33,4,6123,0,4,5,4,0,0,0,49,0,9,1010
261,11,2,8675,1,10,1,4,1,0,0,39,0,13,530
262,12,4,5077,1,10,1,4,0,0,0,39,0,9,545
263,9,4,8420,1,1,3,4,0,0,0,39,0,12,495
264,10,4,6847,1,4,1,4,0,0,0,39,0,13,513
265,12,4,21446,0,6,0,4,1,52,0,39,1,9,545
266,44,0,16035,0,0,0,4,1,0,0,39,0,8,991
267,12,4,25559,0,3,0,4,1,0,0,24,0,5,364
268,4,0,2830,1,0,3,4,0,0,0,29,0,9,326
269,14,4,12247,0,12,5,4,0,0,0,19,0,6,320
270,8,4,13391,0,4,0,4,1,0,0,73,0,8,807
271,41,4,2818,0,14,0,4,1,0,0,39,1,5,954
272,47,4,7168,0,4,5,4,0,0,0,39,1,9,1027
273,29,7,10069,1,4,1,4,1,0,0,37,0,13,761
274,36,0,20260,0,0,0,4,1,0,0,34,1,8,801
275,2,4,5705,1,8,3,0,0,0,0,34,0,8,341
276,25,4,19299,2,8,1,2,1,0,0,51,0,8,911
277,1,4,18819,1,6,3,4,1,0,0,23,0,6,234
278,41,5,17109,0,3,0,4,1,112,0,49,1,12,1112
279,3,4,25758,1,11,1,2,1,0,0,59,0,9,562
280,18,1,27321,0,3,0,4,1,0,0,39,1,8,638
281,15,4,12908,0,6,0,4,1,0,0,37,1,8,569
282,6,4,9746,1,6,1,4,0,0,0,24,0,8,299
283,14,4,20550,2,13,4,4,0,0,0,39,0,9,579
284,16,4,22055,0,12,0,2,1,0,0,54,0,12,787
285,24,4,12526,1,7,1,4,0,0,0,47,0,9,838
286,5,4,13560,1,7,3,2,1,0,0,39,0,8,430
287,29,4,10935,0,11,0,4,1,0,0,39,1,9,796
288,44,1,28121,0,14,0,2,1,0,0,39,0,9,991
289,13,4,23727,1,4,1,2,1,0,0,39,0,8,562
290,25,4,12571,0,4,0,4,1,0,0,54,1,8,952
291,46,4,18203,0,6,0,4,1,0,0,39,0,5,1014
292,9,4,12674,0,12,0,4,1,0,0,39,0,9,495
293,25,4,15981,2,1,4,4,0,0,0,39,0,5,738
294,6,4,24608,0,8,0,4,1,0,0,39,0,9,445
295,8,4,20121,1,7,4,4,1,0,26,39,0,8,478
296,13,4,20152,0,8,0,4,1,0,0,31,1,4,459
297,6,4,24673,1,12,3,4,1,0,0,39,0,8,445
298,17,6,11591,1,5,1,4,1,119,0,59,1,10,863
299,13,4,20284,0,7,2,4,1,0,61,47,0,8,654
300,22,4,25094,0,3,0,4,1,0,0,39,1,9,695
301,13,4,12273,1,6,2,4,1,0,37,37,0,6,537
302,21,2,969,2,1,4,4,0,0,0,37,0,9,656
303,9,4,4843,2,4,3,4,0,0,0,39,0,8,495
304,3,4,6098,1,6,3,4,1,0,0,15,0,9,176
305,20,2,21963,1,10,4,2,1,0,0,39,0,12,669
306,16,4,9892,0,1,3,4,0,0,0,39,0,8,610
307,7,4,19109,1,1,3,4,1,0,0,39,0,12,459
308,25,5,18075,0,4,0,4,1,0,0,59,1,12,1014
309,34,6,8822,0,12,0,1,1,52,0,81,0,8,1346
310,39,2,1262,0,13,0,4,1,0,0,44,1,11,1014
311,5,4,16214,1,6,3,4,1,0,0,39,0,9,430
312,35,6,14168,0,5,0,4,1,0,0,59,0,9,1161
313,27,4,14422,2,4,4,4,0,78,0,44,1,12,843
314,17,4,9687,0,1,5,4,0,68,0,34,0,8,559
315,34,4,1542,2,3,1,4,1,0,0,41,1,9,896
316,3,0,24687,1,0,1,4,1,0,0,39,0,9,396
317,2,4,26036,1,12,1,4,0,0,0,24,0,9,255
318,20,4,4905,0,4,0,4,1,0,0,39,1,12,669
319,51,4,21598,0,7,0,2,1,0,0,39,1,8,1070
320,5,4,5276,2,11,1,4,1,0,0,39,0,9,430
321,39,5,12408,0,4,0,4,1,0,0,39,0,12,928
322,20,4,20672,0,3,0,4,1,0,0,39,0,8,669
323,35,4,2341,0,7,0,4,1,0,0,39,0,1,878
324,9,4,20994,2,6,3,4,1,0,0,39,0,8,495
325,16,4,4609,0,10,0,4,1,0,0,49,0,13,726
326,28,2,2232,2,10,4,4,0,0,0,41,0,13,814
327,1,4,11298,1,8,3,4,1,0,0,14,0,6,149
328,26,6,26860,0,5,0,4,1,0,0,59,1,9,1032
329,47,6,3155,0,10,0,4,1,112,0,49,1,15,1178
330,1,4,19462,1,6,3,4,1,0,0,19,0,8,195
331,3,0,24008,1,0,3,4,1,0,0,44,0,9,438
332,40,4,3489,0,3,0,4,1,0,0,39,1,8,943
333,24,4,21072,2,1,4,4,0,62,0,41,0,8,754
334,17,4,4036,0,4,0,4,1,0,50,49,1,13,745
335,2,4,24071,1,12,4,4,0,0,0,39,0,8,382
336,27,4,16089,2,8,4,4,0,0,0,54,0,4,986
337,39,4,16318,3,8,4,4,0,0,0,39,0,5,928
338,19,5,1818,0,5,0,4,1,0,0,78,0,8,1109
339,31,4,21333,2,4,4,4,0,0,0,47,0,12,951
340,12,4,1313,0,14,0,4,1,0,0,39,1,8,545
341,16,4,2379,1,3,1,4,1,27,0,39,0,12,610
342,14,4,13683,0,8,0,4,1,0,0,39,0,2,579
343,22,4,21277,0,10,0,4,1,0,0,44,1,13,765
344,49,4,22698,0,4,0,4,1,106,0,39,1,8,1049
345,10,4,5746,1,10,1,4,0,0,0,49,1,12,620
346,22,4,16426,2,4,4,2,0,122,0,39,1,8,695
347,42,4,5835,0,3,0,4,1,81,0,49,1,3,1124
348,9,4,14023,1,8,3,4,0,0,0,39,0,8,495
349,14,4,5681,2,3,4,4,1,0,0,39,0,10,579
350,28,0,24735,3,0,4,4,0,0,0,39,0,8,782
351,6,4,16335,1,6,3,4,1,0,0,29,0,8,351
352,19,2,12815,2,1,4,4,0,0,0,39,0,8,654
353,17,4,17514,0,8,5,4,0,0,0,11,1,9,222
354,15,4,19124,0,14,0,4,1,0,0,81,1,8,1063
355,20,4,7609,0,10,0,2,1,0,0,49,1,12,800
356,16,4,4246,1,12,1,4,1,0,0,44,0,12,672
357,33,6,11736,0,10,0,4,1,122,0,78,1,14,1307
358,15,1,10096,1,11,1,2,1,0,0,39,0,11,595
359,18,4,21092,1,1,3,2,0,0,0,39,0,12,638
360,20,4,10133,0,3,0,4,1,0,0,39,0,6,669
361,27,4,23563,2,3,1,4,1,0,0,59,0,9,1049
362,40,4,1968,2,6,2,4,1,0,0,24,0,9,648
363,12,2,27067,0,4,3,4,0,0,0,39,0,9,545
364,38,4,16246,0,3,0,4,1,0,0,49,1,8,1078
365,26,5,17730,0,10,0,4,1,0,0,24,1,14,511
366,26,4,2117,0,12,0,4,1,0,0,69,0,9,1138
367,28,6,26048,0,12,0,4,1,0,0,59,1,9,1066
368,16,6,1831,0,10,5,4,0,0,0,7,0,13,145
369,9,4,15341,2,8,4,4,0,0,0,39,0,5,495
370,6,4,22825,0,12,0,4,1,0,0,67,0,9,696
371,24,4,17028,2,3,1,4,1,0,0,39,0,3,722
372,7,4,22865,0,3,0,4,1,0,0,39,0,8,459
373,30,6,15855,0,12,0,4,1,0,0,43,0,12,873
374,17,6,16452,1,3,3,4,1,0,0,44,0,8,686
375,23,4,14817,0,4,0,4,1,0,0,39,1,8,709
376,11,4,24001,0,10,5,1,0,0,19,39,0,12,530
377,7,4,10626,1,4,3,1,0,0,0,39,0,8,459
378,56,0,3240,0,0,0,4,1,0,0,9,0,9,367
379,6,4,5086,1,3,2,4,1,0,0,14,0,8,189
380,26,6,7889,0,4,0,2,1,0,0,39,1,8,753
381,9,4,9360,2,13,1,4,0,0,0,39,0,12,495
382,41,6,6354,0,4,5,4,0,0,19,34,1,15,861
383,35,4,19207,3,1,4,2,0,0,0,34,0,8,789
384,12,4,17902,0,14,0,4,1,0,0,95,1,6,1108
385,30,4,16727,0,8,0,4,1,0,0,34,0,6,724
386,32,4,18802,2,1,4,2,0,0,0,36,0,8,786
387,23,4,17820,3,1,4,4,0,0,0,39,0,6,709
388,45,6,26415,0,1,5,4,0,0,0,39,0,8,1004
389,32,4,333,0,4,0,4,1,0,55,54,1,8,1064
390,33,4,8980,2,10,2,4,0,0,0,49,1,12,1010
391,14,4,19108,1,14,3,2,1,0,0,39,0,8,579
392,31,2,15050,1,10,1,4,0,0,0,49,0,13,979
393,7,4,14311,1,3,4,4,0,0,0,39,0,8,459
394,24,0,10648,1,0,3,4,0,57,0,39,0,8,722
395,20,4,3573,2,7,3,1,1,0,0,59,0,8,923
396,28,4,26039,0,4,0,1,1,0,0,44,1,12,859
397,46,0,10758,0,0,0,4,1,0,0,15,0,8,481
398,19,4,6841,0,4,0,1,1,0,0,44,0,13,715
399,28,4,2551,0,4,0,4,1,0,0,39,0,12,782
400,24,4,9040,1,12,1,4,0,0,0,39,0,12,722
401,9,4,14610,1,13,2,4,0,0,0,19,0,11,277
402,0,4,1387,1,12,3,4,0,0,0,24,0,6,230
403,10,4,28067,0,8,0,4,1,0,0,35,0,8,464
404,26,4,2058,0,7,0,4,1,0,0,64,0,8,1090
405,18,4,13693,1,14,3,4,1,0,0,54,0,8,825
406,21,4,26308,2,1,4,4,0,0,0,39,0,12,683
407,9,4,23141,1,7,1,4,1,0,0,39,0,8,495
408,11,4,17222,1,4,3,4,0,0,0,39,0,9,530
409,21,4,22505,0,10,5,4,0,0,0,23,1,12,442
410,19,4,13054,2,14,4,4,0,0,0,39,0,6,654
411,16,4,7167,0,1,5,4,0,0,0,39,1,8,610
412,2,4,11655,1,6,3,4,1,6,0,69,0,8,614
413,5,0,18122,1,0,3,4,1,0,0,24,0,11,288
414,25,1,2331,0,1,0,4,1,0,0,39,0,5,738
415,33,4,22930,0,14,0,4,1,0,0,39,1,5,849
416,13,4,27712,0,6,0,4,1,0,0,29,0,8,438
417,20,7,2907,0,10,2,1,1,0,0,39,0,9,669
418,37,5,11076,0,10,0,4,1,122,0,39,1,14,902
419,35,5,12183,1,4,1,4,1,0,0,39,0,12,878
420,48,4,4096,0,6,0,3,1,0,0,39,0,1,1038
421,16,4,10176,2,3,1,4,0,0,0,39,0,8,610
422,8,4,7566,1,13,2,4,1,0,0,39,0,9,478
423,7,4,23969,1,12,1,4,1,0,0,44,0,12,513
424,9,4,17874,2,1,4,2,0,1,0,39,0,10,495
425,22,4,13378,2,1,1,4,1,0,0,39,1,8,695
426,42,4,6562,2,8,1,4,0,0,0,39,0,8,967
427,12,4,4755,1,1,4,4,0,0,0,39,0,9,545
428,30,4,5504,1,8,3,4,0,0,0,44,0,6,888
429,6,0,15508,1,0,3,4,0,0,0,34,0,9,399
430,47,5,6803,0,14,0,4,1,0,0,49,0,8,1178
431,4,4,9877,1,8,3,3,1,0,0,19,0,8,228
432,15,4,14549,0,1,5,2,0,0,0,39,1,9,595
433,9,4,28330,1,4,1,2,0,0,0,36,0,8,460
434,2,0,1996,1,0,3,2,0,0,0,19,0,9,208
435,45,6,3133,0,10,0,4,1,0,0,39,0,13,1004
436,15,4,14350,0,3,0,4,1,0,0,54,1,12,766
437,58,0,231,1,0,1,4,0,0,0,4,0,5,204
438,28,6,16169,0,4,0,4,1,0,0,59,0,8,1066
439,14,4,11226,0,4,0,4,1,0,50,49,1,12,691
440,15,4,2814,0,1,0,4,1,40,0,39,0,8,595
441,7,4,5276,0,12,0,4,1,0,0,39,0,12,459
442,8,4,16179,1,12,3,4,0,0,0,39,0,12,478
443,24,6,19867,0,4,0,4,1,0,0,59,0,8,998
444,1,4,1513,1,12,3,4,0,0,0,19,0,9,195
445,27,4,7061,0,10,0,4,1,0,0,54,1,15,986
